id,city,method,nClust,rep,cost
2,Hyderabad,KCenters,6,11,157993.02125084022
0,Hyderabad,IteratedWatershed,6,12,54090.57149819013
1,Hyderabad,KMeans,6,12,62337.99298359345
2,Hyderabad,KCenters,6,12,109533.47253047788
0,Hyderabad,IteratedWatershed,6,13,56523.109345161756
1,Hyderabad,KMeans,6,13,65254.77451336724
2,Hyderabad,KCenters,6,13,121127.10159363836
0,Hyderabad,IteratedWatershed,6,14,56647.76664332854
1,Hyderabad,KMeans,6,14,62337.99298359345
2,Hyderabad,KCenters,6,14,214829.34085126972
0,Hyderabad,IteratedWatershed,6,15,54345.559766175065
1,Hyderabad,KMeans,6,15,62337.99298359345
2,Hyderabad,KCenters,6,15,148174.67382268052
0,Hyderabad,IteratedWatershed,6,16,56198.640381638485
1,Hyderabad,KMeans,6,16,62337.99298359345
2,Hyderabad,KCenters,6,16,124497.79640652859
0,Hyderabad,IteratedWatershed,6,17,53022.45516380194
1,Hyderabad,KMeans,6,17,62337.99298359345
2,Hyderabad,KCenters,6,17,107112.82366465744
0,Hyderabad,IteratedWatershed,6,18,57159.0016632096
1,Hyderabad,KMeans,6,18,64501.47415311233
2,Hyderabad,KCenters,6,18,131522.9591914897
0,Hyderabad,IteratedWatershed,6,19,55928.90157092325
1,Hyderabad,KMeans,6,19,62337.99298359345
2,Hyderabad,KCenters,6,19,140904.52129507103
0,Hyderabad,IteratedWatershed,9,0,49644.81185115644
1,Hyderabad,KMeans,9,0,47932.49627325948
2,Hyderabad,KCenters,9,0,129471.13786461097
0,Hyderabad,IteratedWatershed,9,1,48082.456214544094
1,Hyderabad,KMeans,9,1,49454.675550648644
2,Hyderabad,KCenters,9,1,125557.34427254416
0,Hyderabad,IteratedWatershed,9,2,46227.75169609698
1,Hyderabad,KMeans,9,2,51072.64890693839
2,Hyderabad,KCenters,9,2,123668.0913111543
0,Hyderabad,IteratedWatershed,9,3,48532.22664752365
1,Hyderabad,KMeans,9,3,51072.64890693839
2,Hyderabad,KCenters,9,3,121616.98537474047
0,Hyderabad,IteratedWatershed,9,4,46826.72362753995
1,Hyderabad,KMeans,9,4,49454.675550648644
2,Hyderabad,KCenters,9,4,184928.2581856718
0,Hyderabad,IteratedWatershed,9,5,48863.1140619144
1,Hyderabad,KMeans,9,5,54893.01139502017
2,Hyderabad,KCenters,9,5,138309.47235238636
0,Hyderabad,IteratedWatershed,9,6,47352.648455388764
1,Hyderabad,KMeans,9,6,54103.63763717425
2,Hyderabad,KCenters,9,6,155827.2521999538
0,Hyderabad,IteratedWatershed,9,7,48257.521136397394
1,Hyderabad,KMeans,9,7,54893.01139502017
2,Hyderabad,KCenters,9,7,114296.37227355107
0,Hyderabad,IteratedWatershed,9,8,46908.8470832526
1,Hyderabad,KMeans,9,8,51072.64890693839
2,Hyderabad,KCenters,9,8,112123.10590619686
0,Hyderabad,IteratedWatershed,9,9,45730.644852221114
1,Hyderabad,KMeans,9,9,47932.49627325948
2,Hyderabad,KCenters,9,9,196294.4664432734
0,Hyderabad,IteratedWatershed,9,10,48718.79359896681
1,Hyderabad,KMeans,9,10,51072.64890693839
2,Hyderabad,KCenters,9,10,151792.15910822066
0,Hyderabad,IteratedWatershed,9,11,48183.3247704242
1,Hyderabad,KMeans,9,11,54103.63763717425
2,Hyderabad,KCenters,9,11,142363.83573565213
0,Hyderabad,IteratedWatershed,9,12,47308.61465784832
1,Hyderabad,KMeans,9,12,47932.49627325948
2,Hyderabad,KCenters,9,12,135638.4789264581
